point_name,measurement_id,measMode,date,time,x,y,z,std1,std2,std3,stdTotal
SlaveDown,1,0,2025-09-12,16:29:37.198,-3.095781952466452,1.987590869088349,2982.1917088876576,9.917306349459678e-07,1.96102283800701e-06,0.0009820613354433612,0.005720604580437235
MasterDown,1,0,2025-09-12,16:30:34.081,-2.7616364923622205,1.9001851137576657,3406.2715499124306,1.2288038061269436e-06,1.3949254036040492e-06,0.00024037011315828347,0.005826271590117777
MasterUp,1,0,2025-09-12,16:31:43.511,-2.9288596198341965,1.7329828362996937,9928.394645321798,6.773095403196399e-07,4.189532315403718e-06,0.0015677301878523745,0.0410975178041689
101B,1,0,2025-09-12,16:33:33.253,-2.866291711113839,1.7326738406848956,17679.901756118867,1.9458114672012104e-06,4.62239793760913e-06,0.0018484228050480735,0.08660227140102315
SC,1,0,2025-09-12,16:34:57.419,-1.5454026128815186,1.9325414997458463,4081.5330692447615,1.3253614895452512e-06,5.307628563223879e-07,0.0005696002509893297,0.0054385998166331835
A,1,0,2025-09-12,16:36:08.375,-2.9869888710473496,1.5051879017006644,4395.957778449933,7.162137173543132e-07,5.53482684807048e-07,0.00037118429518134946,0.00398429709690689
B,1,0,2025-09-12,16:36:49.657,-3.0945659293666377,1.6541792119621306,4361.497260683094,1.2747173471951909e-06,1.286797762721178e-06,0.0004666666837890756,0.00787127862947073
D,1,0,2025-09-12,16:37:40.152,-2.9358215527941205,1.6816204137446062,4361.296745599909,6.142528471260532e-07,1.4182606078998886e-06,0.00035276686969347014,0.006671336020490459
SP1,1,0,2025-09-12,16:38:53.462,-3.0024567043421957,1.6543249528775048,5658.767749588734,6.526561436598066e-07,8.121286892655465e-07,0.00023094012158617503,0.00586671409734551
SP2,1,0,2025-09-12,16:40:03.182,-3.0262902234418245,1.653422232781487,5658.729816395982,1.5273534133378716e-06,3.3454813000624627e-07,0.0002000000016848351,0.008818425846835917
SP3,1,0,2025-09-12,16:41:10.082,-3.0271920875805036,1.6771382346117587,5659.2720547319095,1.6569900658366054e-06,9.381030533623053e-07,0.00026666668194910855,0.010703124341697057
RefMarkU,1,0,2025-09-12,16:43:03.782,2.517155539346834,1.7535438215851693,5327.986815851294,7.407737989625364e-07,1.7491329393951935e-06,0.0009820613381445829,0.00986053009628168
RefMarkU,1,0,2025-09-12,17:16:16.552,2.6179791530967558,1.6170143574660298,5328.017778327781,8.560830733951727e-07,1.0717611027526013e-06,0.00024037008471966006,0.007299503253792172
SlaveDown,1,0,2025-09-12,17:40:17.201,-3.0346157188190466,1.900927728591632,2982.1552076405565,1.0839973169096491e-06,2.2055727984526535e-06,0.001650589120348041,0.006836932651173881
MasterDown,1,0,2025-09-12,17:49:38.636,-2.6990787962048417,1.8550289812179135,3406.2599093778053,9.749652531007008e-07,7.708038587024651e-07,0.0007055336830827457,0.00406324932944788
MasterUp,1,0,2025-09-12,18:11:26.707,-2.8402283901715433,1.6678469272993612,9928.375235068052,1.304838287095405e-06,9.520225183507317e-07,0.00037118429041624096,0.015939326327512573
SC,1,0,2025-09-12,18:12:57.303,-1.4795650695036269,2.042738584925238,4081.4855552146687,1.1048059431859935e-06,1.5660928377450606e-06,0.0004666666658641592,0.006620552751829935
101B,1,0,2025-09-12,18:14:57.747,-2.7786181700184303,1.675449651811018,17679.922946632425,1.9909707459062212e-06,3.216199570112827e-06,0.0001763834205607974,0.06625121798264944
A,1,0,2025-09-12,18:15:42.892,-2.869550827687636,1.434603221201656,4395.945912056456,1.6413095475625845e-06,2.69417739277251e-06,0.0007211102549253602,0.013660180951436665
B,1,0,2025-09-12,18:16:35.701,-2.9942407215547764,1.5698864359872653,4361.476047998254,5.651855469583344e-07,2.68230653578084e-06,0.0004163332002311247,0.011962935127958943
D,1,0,2025-09-12,18:17:43.072,-2.840608460912237,1.6160040678375567,4361.270644989619,1.4827212618480648e-06,9.92838171946441e-07,0.00019999999977137048,0.007774297911358936
SlaveDown,1,0,2025-09-12,18:35:41.291,-2.8406292684287555,1.615961822864599,4361.276509224657,9.089665668759841e-07,4.512074554770381e-07,0.00037118429143541203,0.004435863713927762
SP1,1,0,2025-09-12,18:42:39.905,-2.9031233502152656,1.5807197390042087,5658.73310776674,1.6070897062438967e-06,1.4916571469577074e-06,0.0008110350035560851,0.012433273468964315
D,1,0,2025-09-12,19:04:02.638,-2.840628751657233,1.61596450512051,4361.279292141951,6.530060277379654e-07,2.4429041316130306e-06,0.00024037008526707455,0.011008092269703064
SP2,1,0,2025-09-12,19:05:39.777,-2.926599142976763,1.5769909098453883,5658.7146613769755,7.826036308273347e-07,4.385674914908643e-07,0.00040000000033223323,0.005092113411748017
SP3,1,0,2025-09-12,19:06:15.605,-2.9303066602520964,1.6004338450386508,5659.269031045215,1.434887436792023e-06,2.745245653821494e-06,0.0005033222955374325,0.01752341007980225
