coordsystype,point_name,measurement_id,measMode,date,time,val1,val2,val3,std1,std2,std3,stdTotal,,
7,MasterUp,1,0,2025.09.15,15:54:14.811,-2.84022806,1.667807962,9928.352441,1.82E-06,9.77E-07,0.001245436,0.020434217,,
0,MDUp,1,0,2025.09.15,16:07:10.528,-3534.444762,-1318.415494,-841.7887481,0.001462242,0.001698853,0.004063244,0.004640496,,
0,MDDown,1,0,2025.09.15,16:08:26.408,-2717.670121,-1122.880712,-841.0644191,0.001693061,0.002994412,0.002768883,0.004415843,839.8542677,
0,MUUp,1,0,2025.09.15,16:31:39.283,-9284.502105,-2815.778815,-959.3594994,0.003560513,0.009145696,0.022434329,0.024487142,,
0,MUDown,1,0,2025.09.15,16:32:24.811,-9168.210778,-2787.454856,-959.7048289,0.002870692,0.008205353,0.014603788,0.016995273,119.6914306,-0.9585694
0,MDDown,1,0,2025.09.15,16:40:59.159,-3052.724741,-1372.660617,-961.3486542,0.001670017,0.001335344,0.005506725,0.005907294,,
0,MDUp,1,0,2025.09.15,16:41:34.514,-3169.331578,-1401.641626,-962.1071646,0.001430125,0.002744655,0.002540904,0.004004321,120.1566846,-0.4933154
0,MDLeft,1,0,2025.09.15,16:44:13.067,-2546.924314,-1037.420578,-962.7898452,0.001687512,0.001549286,0.004706034,0.005233998,,
0,MDRight,1,0,2025.09.15,16:45:30.997,-2575.895917,-921.4127769,-963.2399971,0.000589837,0.000945272,0.000237385,0.001139209,119.5715947,-1.0784053
0,MULeft,1,0,2025.09.15,16:48:28.918,-9170.771555,-2940.167826,-959.378927,0.01347532,0.013253103,0.016086565,0.02481948,,
0,MURight,1,0,2025.09.15,16:49:09.634,-9201.380057,-2825.215308,-959.6270863,0.002172372,0.002907384,0.018726632,0.019075084,118.9580747,-1.6919253
